x,x,x,-0.022982,-0.045335,-0.046929,-0.040256,-0.036535,-0.034807,-0.034044,-0.033711,-0.033568,-0.033506
x,x,y,-0.013312,-0.027345,-0.032477,-0.034249,-0.034167,-0.03386
x,x,zp,-0.026624,-0.029572,-0.034744,-0.035078,-0.03446,-0.033967,-0.033697,-0.033566
x,x,zm,-0.0,-0.025119,-0.03021,-0.03342,-0.033873,-0.033752,-0.033614
x,y,x,-0.002496,0.014128,-0.016933,-0.028177,-0.031798,-0.032913,-0.033267,-0.033388,-0.033432
x,y,y,0.00832,0.008438,-0.0175,-0.028335,-0.031862,-0.032939,-0.033278,-0.033392,-0.033434
x,y,zp,-0.004991,-0.001051,-0.019734,-0.029042,-0.032094,-0.033021,-0.033309,-0.033405,-0.033439
x,y,zm,-0.0,0.00689,-0.015163,-0.027379,-0.031506,-0.032805,-0.033226,-0.033371,-0.033425
x,zp,x,0.14488,0.0548,-0.020425,-0.033637,-0.035026,-0.034501,-0.033997
x,zp,y,0.14488,0.045932,-0.015173,-0.028892,-0.032297,-0.033153,-0.033375,-0.033435
x,zp,zp,0.214824,0.042335,-0.017463,-0.029726,-0.032591,-0.03326,-0.033416,-0.033451
x,zp,zm,0.074936,0.049529,-0.012883,-0.028058,-0.032003,-0.033045,-0.033333,-0.033418,-0.033445
x,zm,x,-0.149872,-0.026544,-0.013441,-0.022717,-0.02857,-0.031324,-0.032538,-0.033064,-0.03329,-0.033387
x,zm,y,-0.149872,-0.040093,-0.019725,-0.02753,-0.031303,-0.032673,-0.03316,-0.033341,-0.033411
x,zm,zp,-0.224807,-0.044437,-0.022006,-0.028359,-0.031596
x,zm,zm,-0.074936,-0.035749,-0.017443,-0.0267,-0.031009,-0.032565,-0.033119,-0.033324,-0.033405
y,x,x,-0.012166,-0.026279,-0.032417,-0.034252,-0.03417,-0.033861
y,x,y,-0.002496,0.00294,-0.017447,-0.028211,-0.0318,-0.032913,-0.033267,-0.033388,-0.033432
y,x,zp,-0.004991,-0.001051,-0.019734,-0.029042,-0.032094,-0.033021,-0.033309,-0.033405,-0.033439
y,x,zm,0.0,0.00689,-0.015163,-0.027379,-0.031506,-0.032805,-0.033226,-0.033371,-0.033425
y,y,x,0.007174,0.007843,-0.017526,-0.028337,-0.031862,-0.032939,-0.033278,-0.033392,-0.033434
y,y,y,0.01799,0.013382,-0.017576,-0.028461,-0.031925,-0.032964,-0.033288,-0.033397,-0.033435
y,y,zp,0.014349,0.003634,-0.019807,-0.029168,-0.032156,-0.033046,-0.03332,-0.033409,-0.03344
