x,x,y,0.033494,-0.003065,-0.003173,-0.001155,-0.000338,-9.1e-05,-2.4e-05,-6e-06,-2e-06,-0.0,-0.0
x,y,x,0.466506,0.159315,0.044188,0.011531,0.002939,0.000742,0.000186,4.7e-05,1.2e-05,3e-06,1e-06,0.0,0.0
x,y,y,0.466506,0.159315,0.044188,0.011531,0.002939,0.000742,0.000186,4.7e-05,1.2e-05,3e-06,1e-06,0.0,0.0
x,y,zp,0.466506,0.159315,0.044188,0.011531,0.002939,0.000742,0.000186,4.7e-05,1.2e-05,3e-06,1e-06,0.0,0.0
x,y,zm,0.466506,0.159315,0.044188,0.011531,0.002939,0.000742,0.000186,4.7e-05,1.2e-05,3e-06,1e-06,0.0,0.0
x,zp,y,-0.0,-0.015625,-0.004883,-0.001282,-0.000324,-8.1e-05,-2e-05,-5e-06,-1e-06,-0.0,-0.0
x,zm,y,0.0,0.015625,0.004883,0.001282,0.000324,8.1e-05,2e-05,5e-06,1e-06,0.0,0.0
y,x,y,0.033494,-0.003065,-0.003173,-0.001155,-0.000338,-9.1e-05,-2.4e-05,-6e-06,-2e-06,-0.0,-0.0
zp,x,y,0.033494,-0.003065,-0.003173,-0.001155,-0.000338,-9.1e-05,-2.4e-05,-6e-06,-2e-06,-0.0,-0.0
zm,x,y,0.033494,-0.003065,-0.003173,-0.001155,-0.000338,-9.1e-05,-2.4e-05,-6e-06,-2e-06,-0.0,-0.0
