x,x,x,0.029006,0.145072,0.156175,0.136748,0.123118,0.115597,0.111711,0.109742
x,x,y,0.029006,0.056172,0.097546,0.111318,0.112377,0.110871,0.109528
x,x,zp,0.029006,0.065415,0.107211,0.115239,0.113844,0.111438
x,x,zm,0.029006,0.04693,0.087881,0.107397,0.110909,0.110304,0.109291
x,y,x,0.029006,-0.032727,0.038917,0.085887,0.101636,0.106145,0.107345,0.107654
x,y,y,0.091506,-0.045596,0.039456,0.086516,0.101967,0.106291,0.107411,0.107685
x,y,zp,0.029006,-0.023485,0.048582,0.089808,0.103103,0.106712,0.107582,0.10776
x,y,zm,0.029006,-0.04197,0.029251,0.081966,0.100168,0.105577,0.107108,0.107548
x,zp,x,-0.375,-0.147261,0.054125,0.111788,0.119288,0.116138,0.112633,0.110371
x,zp,y,-0.375,-0.147261,0.033389,0.089735,0.104447,0.107637,0.108096,0.108029
x,zp,zp,-0.375,-0.138018,0.043054,0.093656,0.105914,0.108204,0.108333,0.108135
x,zp,zm,-0.375,-0.156503,0.023724,0.085814,0.10298,0.10707,0.107859,0.107923
x,zm,x,0.433013,0.081806,0.023708,0.059986,0.083983,0.096151,0.102057,0.104938,0.106356
x,zm,y,0.433013,0.081806,0.044444,0.082039,0.098824,0.104652,0.106594,0.10728
x,zm,zp,0.433013,0.091048,0.054109,0.08596,0.100292,0.10522,0.10683,0.107386
x,zm,zm,0.433013,0.072564,0.034779,0.078118,0.097357,0.104085,0.106357,0.107174
y,x,x,0.029006,0.056172,0.097546,0.111318,0.112377,0.110871,0.109528
y,x,y,0.029006,-0.032727,0.038917,0.085887,0.101636,0.106145,0.107345,0.107654
y,x,zp,0.029006,-0.023485,0.048582,0.089808,0.103103,0.106712,0.107582,0.10776
y,x,zm,0.029006,-0.04197,0.029251,0.081966,0.100168,0.105577,0.107108,0.107548
y,y,x,0.091506,-0.045596,0.039456,0.086516,0.101967,0.106291,0.107411,0.107685
y,y,y,0.154006,-0.058464,0.039995,0.087146,0.102298,0.106437,0.107477,0.107716
y,y,zp,0.091506,-0.036353,0.049121,0.090437,0.103434,0.106858,0.107647,0.107791
y,y,zm,0.091506,-0.054838,0.029791,0.082595,0.1005,0.105724,0.107174,0.107579
y,zp,x,-0.375,-0.147261,0.033389,0.089735,0.104447,0.107637,0.108096,0.108029
y,zp,y,-0.404006,-0.145373,0.033119,0.089752,0.104457,0.107642,0.108098,0.10803
y,zp,zp,-0.375,-0.138018,0.043054,0.093656,0.105914,0.108204,0.108333,0.108135
y,zp,zm,-0.375,-0.156503,0.023724,0.085814,0.10298,0.10707,0.107859,0.107923
y,zm,x,0.433013,0.081806,0.044444,0.082039,0.098824,0.104652,0.106594,0.10728
